frame, time,Joint1: JointValue (degree),Joint2: JointValue (degree),Joint1: JointVel (degree/s),Joint1: GenForce (N.m),Joint1: JointAccl (degree/s^2),Joint2: JointAccl (degree/s^2),Joint2: GenForce (N.m),Joint2: JointVel (degree/s)
127,1.26,15.23886238,-11.42914678,-50.53641318,21.45280359,68.70367454,-51.5277559,5.504669455,37.90230988
128,1.27,14.73696692,-11.05272519,-49.83935596,21.56266741,70.69630277,-53.02222708,5.530653352,37.37951697
129,1.28,14.24214052,-10.68160539,-49.12271969,21.66836335,72.61916229,-54.46437172,5.555770554,36.84203977
130,1.29,13.75457544,-10.31593158,-48.38721161,21.76984576,74.47035546,-55.8527666,5.57999298,36.29040871
131,1.3,13.27445678,-9.955842583,-47.63355757,21.86707429,76.24805538,-57.18604154,5.60329438,35.72516818
132,1.31,12.8019623,-9.601471722,-46.86250134,21.96001381,77.95050768,-58.46288076,5.625650343,35.146876
133,1.32,12.33726222,-9.252946668,-46.07480385,22.04863432,79.57603224,-59.68202418,5.6470383,34.55610289
134,1.33,11.8805191,-8.910389325,-45.27124247,22.13291084,81.12302486,-60.84226865,5.667437525,33.95343185
135,1.34,11.43188761,-8.573915709,-44.45261022,22.21282334,82.58995885,-61.94246914,5.686829118,33.33945767
136,1.35,10.99151444,-8.243635831,-43.61971499,22.2883566,83.97538652,-62.98153989,5.705195994,32.71478624
137,1.36,10.55953812,-7.919653588,-42.77337875,22.3595001,85.27794062,-63.95845547,5.722522862,32.08003406
138,1.37,10.13608889,-7.602066665,-41.91443672,22.42624789,86.4963357,-64.87225177,5.738796194,31.43582754
139,1.38,9.721288578,-7.290966434,-41.04373658,22.48859842,87.62936933,-65.72202699,5.754004194,30.78280244
140,1.39,9.315250486,-6.986437864,-40.16213761,22.54655449,88.67592335,-66.50694251,5.768136763,30.12160321
141,1.4,8.918079256,-6.688559442,-39.27050983,22.60012302,89.63496494,-67.22622371,5.781185461,29.45288237
142,1.41,8.529870786,-6.39740309,-38.36973318,22.64931494,90.50554765,-67.87916073,5.793143457,28.77729989
143,1.42,8.150712127,-6.113034095,-37.46069661,22.69414508,91.2868123,-68.46510923,5.804005487,28.09552246
144,1.43,7.780681397,-5.835511048,-36.54429724,22.73463195,91.97798789,-68.98349092,5.813767804,27.40822293
145,1.44,7.419847711,-5.564885783,-35.62143944,22.77079766,92.57839232,-69.43379424,5.822428126,26.71607958
